Називний;Родовий;Знахідний;Давальний;Орудний;Джерело;Примітка
начальник пристрілочної станції;начальника пристрілочної станції;начальника пристрілочної станції;начальнику пристрілочної станції;начальником пристрілочної станції;довідник, Excel, зведений;
начальник продовольчого пункту;начальника продовольчого пункту;начальника продовольчого пункту;начальнику продовольчого пункту;начальником продовольчого пункту;довідник, Excel, зведений;
начальник продовольчого складу;начальника продовольчого складу;начальником продовольчого складу;начальнику продовольчого складу;начальником продовольчого складу;довідник, Excel, зведений;
начальник продовольчої служби;начальника продовольчої служби;начальника продовольчої служби;начальнику продовольчої служби;начальником продовольчої служби;зведений;
начальник прожекторного пункту;начальника прожекторного пункту;начальника прожекторного пункту;начальнику прожекторного пункту;начальником прожекторного пункту;довідник, Excel, зведений;
начальник прожекторної станції;начальника прожекторної станції;начальника прожекторної станції;начальнику прожекторної станції;начальником прожекторної станції;довідник, Excel, зведений;
начальник протиповітряної оборони;начальника протиповітряної оборони;начальника протиповітряної оборони;начальнику протиповітряної оборони;начальником протиповітряної оборони;зведений;
начальник пункту;начальника пункту;начальника пункту;начальнику пункту;начальником пункту;зведений;
начальник пункту високочастотного зв'язку;начальника пункту високочастотного зв'язку;начальника пункту високочастотного зв'язку;начальнику пункту високочастотного зв'язку;начальником пункту високочастотного зв'язку;довідник, Excel, зведений;
начальник пункту дегазації;начальника пункту дегазації;начальника пункту дегазації;начальнику пункту дегазації;начальником пункту дегазації;довідник, Excel, зведений;
начальник пункту заправки пальним;начальника пункту заправки пальним;начальника пункту заправки пальним;начальнику пункту заправки пальним;начальником пункту заправки пальнимом;Excel, зведений;
начальник пункту радіотехнічного контролю;начальника пункту радіотехнічного контролю;начальника пункту радіотехнічного контролю;начальнику пункту радіотехнічного контролю;начальником пункту радіотехнічного контролю;довідник, Excel, зведений;
начальник пункту спеціальної обробки;начальника пункту спеціальної обробки;начальника пункту спеціальної обробки;начальнику пункту спеціальної обробки;начальником пункту спеціальної обробки;довідник, Excel, зведений;
начальник пункту спорядження;начальника пункту спорядження;начальника пункту спорядження;начальнику пункту спорядження;начальником пункту спорядження;зведений;
начальник пункту технічного обслуговування;начальника пункту технічного обслуговування;начальника пункту технічного обслуговування;начальнику пункту технічного обслуговування;начальником пункту технічного обслуговування;довідник, Excel, зведений;
начальник підйомно-стикового агрегату;начальника підйомно-стикового агрегату;начальника підйомно-стикового агрегату;начальнику підйомно-стикового агрегату;начальником підйомно-стикового агрегату;довідник, Excel, зведений;
начальник підсилювального пункту;начальника підсилювального пункту;начальника підсилювального пункту;начальнику підсилювального пункту;начальником підсилювального пункту;довідник, Excel, зведений;
начальник радіобюро;начальника радіобюро;начальника радіобюро;начальнику радіобюро;начальником радіобюро;довідник, Excel, зведений;
начальник радіовисотоміра;начальника радіовисотоміра;начальника радіовисотоміра;начальнику радіовисотоміра;начальником радіовисотоміра;довідник, Excel, зведений;
начальник радіовузла;начальника радіовузла;начальника радіовузла;начальнику радіовузла;начальником радіовузла;довідник, Excel, зведений;
начальник радіодалекоміра;начальника радіодалекоміра;начальника радіодалекоміра;начальнику радіодалекоміра;начальником радіодалекоміра;довідник, Excel, зведений;
начальник радіолокаційного поста;начальника радіолокаційного поста;начальника радіолокаційного поста;начальнику радіолокаційного поста;начальником радіолокаційного поста;довідник, Excel, зведений;
начальник радіолокаційної станції;начальника радіолокаційної станції;начальника радіолокаційної станції;начальнику радіолокаційної станції;начальником радіолокаційної станції;довідник, Excel, зведений;
начальник радіомаркерного поста;начальника радіомаркерного поста;начальника радіомаркерного поста;начальнику радіомаркерного поста;начальником радіомаркерного поста;довідник, Excel, зведений;
начальник радіомаркерного пункту;начальника радіомаркерного пункту;начальника радіомаркерного пункту;начальнику радіомаркерного пункту;начальником радіомаркерного пункту;довідник, Excel, зведений;
начальник радіомаяка;начальника радіомаяка;начальника радіомаяка;начальнику радіомаяка;начальником радіомаяка;довідник, Excel, зведений;
начальник радіометричного поста;начальника радіометричного поста;начальника радіометричного поста;начальнику радіометричного поста;начальником радіометричного поста;довідник, Excel, зведений;
начальник радіометричної станції;начальника радіометричної станції;начальника радіометричної станції;начальнику радіометричної станції;начальником радіометричної станції;довідник, Excel, зведений;
начальник радіопеленгатора;начальника радіопеленгатора;начальника радіопеленгатора;начальнику радіопеленгатора;начальником радіопеленгатора;довідник, Excel, зведений;
начальник радіопеленгувального пункту;начальника радіопеленгувального пункту;начальника радіопеленгувального пункту;начальнику радіопеленгувального пункту;начальником радіопеленгувального пункту;довідник, Excel, зведений;
начальник радіорелейної станції;начальника радіорелейної станції;начальника радіорелейної станції;начальнику радіорелейної станції;начальником радіорелейної станції;зведений;
начальник радіостанції;начальника радіостанції;начальника радіостанції;начальнику радіостанції;начальником радіостанції;зведений;
начальник радіотелеграфного пункту;начальника радіотелеграфного пункту;начальника радіотелеграфного пункту;начальнику радіотелеграфного пункту;начальником радіотелеграфного пункту;довідник, Excel, зведений;
начальник радіотехнічного поста;начальника радіотехнічного поста;начальника радіотехнічного поста;начальнику радіотехнічного поста;начальником радіотехнічного поста;довідник, Excel, зведений;
начальник радіотехнічної станції;начальника радіотехнічної станції;начальника радіотехнічної станції;начальнику радіотехнічної станції;начальником радіотехнічної станції;зведений;
начальник речового складу;начальника речового складу;начальника речового складу;начальнику речового складу;начальником речового складу;довідник, Excel, зведений;
начальник речової служби;начальника речової служби;начальника речової служби;начальнику речової служби;начальником речової служби;зведений;
начальник розвідки;начальника розвідки;начальника розвідки;начальнику розвідки;начальником розвідки;зведений;
начальник розвідувального пункту;начальника розвідувального пункту;начальника розвідувального пункту;начальнику розвідувального пункту;начальником розвідувального пункту;довідник, Excel, зведений;
начальник розплідника;начальника розплідника;начальника розплідника;начальнику розплідника;начальником розплідника;довідник, Excel, зведений;
начальник світлообладнання;начальника світлообладнання;начальника світлообладнання;начальнику світлообладнання;начальником світлообладнання;довідник, Excel, зведений;
начальник секретної бібліотеки;начальника секретної бібліотеки;начальника секретної бібліотеки;начальнику секретної бібліотеки;начальником секретної бібліотеки;довідник, Excel, зведений;
начальник сектору;начальника сектору;начальника сектору;начальнику сектору;начальником сектору;зведений;
начальник секції;начальника секції;начальника секції;начальнику секції;начальником секції;зведений;
начальник сигнального поста;начальника сигнального поста;начальника сигнального поста;начальнику сигнального поста;начальником сигнального поста;довідник, Excel, зведений;
начальник складу;начальника складу;начальника складу;начальнику складу;начальником складу;довідник, Excel, зведений;
начальник служби;начальника служби;начальника служби;начальнику служби;начальником служби;довідник, Excel, зведений;
начальник служби пального;начальника служби пального;начальника служби пального;начальнику служби пального;начальником служби пального;зведений;
начальник служби радіаційного, хімічного, біологічного захисту;начальника служби радіаційного, хімічного, біологічного захисту;начальника служби радіаційного, хімічного, біологічного захисту;начальнику служби радіаційного, хімічного, біологічного захисту;начальником служби радіаційного, хімічного, біологічного захисту;зведений;
начальник слюсарно-механічної групи;начальника слюсарно-механічної групи;начальника слюсарно-механічної групи;начальнику слюсарно-механічної групи;начальником слюсарно-механічної групи;довідник, Excel, зведений;
начальник спортивної бази;начальника спортивної бази;начальника спортивної бази;начальнику спортивної бази;начальником спортивної бази;довідник, Excel, зведений;
начальник станції;начальника станції;начальника станції;начальнику станції;начальником станції;зведений;
начальник станції гучномовного зв'язку;начальника станції гучномовного зв'язку;начальника станції гучномовного зв'язку;начальнику станції гучномовного зв'язку;начальником станції гучномовного зв'язку;довідник, Excel, зведений;
начальник станції дегазації;начальника станції дегазації;начальника станції дегазації;начальнику станції дегазації;начальником станції дегазації;довідник, Excel, зведений;
начальник станції перешкод;начальника станції перешкод;начальника станції перешкод;начальнику станції перешкод;начальником станції перешкод;зведений;
начальник станції посадки літаків;начальника станції посадки літаків;начальника станції посадки літаків;начальнику станції посадки літаків;начальником станції посадки літаків;довідник, Excel, зведений;
начальник станції радіорозвідки;начальника станції радіорозвідки;начальника станції радіорозвідки;начальнику станції радіорозвідки;начальником станції радіорозвідки;довідник, Excel, зведений;
начальник станції регенерації;начальника станції регенерації;начальника станції регенерації;начальнику станції регенерації;начальником станції регенерації;довідник, Excel, зведений;
начальник станції системи єдиного часу;начальника станції системи єдиного часу;начальника станції системи єдиного часу;начальнику станції системи єдиного часу;начальником станції системи єдиного часу;довідник, Excel, зведений;
начальник станції складання та перевірки ракет;начальника станції складання та перевірки ракет;начальника станції складання та перевірки ракет;начальнику станції складання та перевірки ракет;начальником станції складання та перевірки ракетом;Excel, зведений;
начальник станції технічного контролю;начальника станції технічного контролю;начальника станції технічного контролю;начальнику станції технічного контролю;начальником станції технічного контролю;довідник, Excel, зведений;
начальник станції фіксації;начальника станції фіксації;начальника станції фіксації;начальнику станції фіксації;начальником станції фіксації;зведений;
начальник стрільбища;начальника стрільбища;начальника стрільбища;начальнику стрільбища;начальником стрільбища;довідник, Excel, зведений;
начальник сховища;начальника сховища;начальника сховища;начальнику сховища;начальником сховища;довідник, Excel, зведений;
начальник тактичної системи радіорозвідки та пеленгування;начальника тактичної системи радіорозвідки та пеленгування;начальника тактичної системи радіорозвідки та пеленгування;начальнику тактичної системи радіорозвідки та пеленгування;начальником тактичної системи радіорозвідки та пеленгування;довідник, Excel, зведений;
начальник танкодрому;начальника танкодрому;начальника танкодрому;начальнику танкодрому;начальником танкодрому;довідник, Excel, зведений;
начальник телеграфної станції;начальника телеграфної станції;начальника телеграфної станції;начальнику телеграфної станції;начальником телеграфної станції;довідник, Excel, зведений;
начальник телеметричного поста;начальника телеметричного поста;начальника телеметричного поста;начальнику телеметричного поста;начальником телеметричного поста;довідник, Excel, зведений;
начальник телеметричної станції;начальника телеметричної станції;начальника телеметричної станції;начальнику телеметричної станції;начальником телеметричної станції;довідник, Excel, зведений;
начальник телефонної станції;начальника телефонної станції;начальника телефонної станції;начальнику телефонної станції;начальником телефонної станції;довідник, Excel, зведений;
начальник теплопеленгувальної станції;начальника теплопеленгувальної станції;начальника теплопеленгувальної станції;начальнику теплопеленгувальної станції;начальником теплопеленгувальної станції;довідник, Excel, зведений;
начальник територіального центру комплектування та соціальної підтримки;начальника територіального центру комплектування та соціальної підтримки;начальника територіального центру комплектування та соціальної підтримки;начальнику територіального центру комплектування та соціальної підтримки;начальником територіального центру комплектування та соціальної підтримки;зведений;
начальник тиру;начальника тиру;начальника тиру;начальнику тиру;начальником тиру;довідник, Excel, зведений;
начальник трансформаторної підстанції;начальника трансформаторної підстанції;начальника трансформаторної підстанції;начальнику трансформаторної підстанції;начальником трансформаторної підстанції;довідник, Excel, зведений;
начальник тренажера;начальника тренажера;начальника тренажера;начальнику тренажера;начальником тренажера;довідник, Excel, зведений;
начальник тропосферної станції;начальника тропосферної станції;начальника тропосферної станції;начальнику тропосферної станції;начальником тропосферної станції;довідник, Excel, зведений;
начальник управління;начальника управління;начальника управління;начальнику управління;начальником управління;зведений;
начальник факультету;начальника факультету;начальника факультету;начальнику факультету;начальником факультету;зведений;
начальник фототелеграфної станції;начальника фототелеграфної станції;начальника фототелеграфної станції;начальнику фототелеграфної станції;начальником фототелеграфної станції;довідник, Excel, зведений;
начальник фізичної підготовки;начальника фізичної підготовки;начальника фізичної підготовки;начальнику фізичної підготовки;начальником фізичної підготовки;зведений;
начальник фільмотеки;начальника фільмотеки;начальника фільмотеки;начальнику фільмотеки;начальником фільмотеки;довідник, Excel, зведений;
начальник фільтровентиляційної станції;начальника фільтровентиляційної станції;начальника фільтровентиляційної станції;начальнику фільтровентиляційної станції;начальником фільтровентиляційної станції;довідник, Excel, зведений;
начальник фільтрувальної станції;начальника фільтрувальної станції;начальника фільтрувальної станції;начальнику фільтрувальної станції;начальником фільтрувальної станції;довідник, Excel, зведений;
начальник фінансово-економічної служби;начальника фінансово-економічної служби;начальника фінансово-економічної служби;начальнику фінансово-економічної служби;начальником фінансово-економічної служби;зведений;
начальник фінансової частини;начальника фінансової частини;начальника фінансової частини;начальнику фінансової частини;начальником фінансової частини;зведений;
начальник хлібопекарні;начальника хлібопекарні;начальника хлібопекарні;начальнику хлібопекарні;начальником хлібопекарні;довідник, Excel, зведений;
начальник холодильника;начальника холодильника;начальника холодильника;начальнику холодильника;начальником холодильника;довідник, Excel, зведений;
начальник холодильної установки;начальника холодильної установки;начальника холодильної установки;начальнику холодильної установки;начальником холодильної установки;довідник, Excel, зведений;
начальник хімічної служби;начальника хімічної служби;начальника хімічної служби;начальнику хімічної служби;начальником хімічної служби;зведений;
начальник центру;начальника центру;начальника центру;начальнику центру;начальником центру;зведений;
начальник центру підготовки сержантського складу;начальника центру підготовки сержантського складу;начальника центру підготовки сержантського складу;начальнику центру підготовки сержантського складу;начальником центру підготовки сержантського складу;зведений;
начальник цеху;начальника цеху;начальника цеху;начальнику цеху;начальником цеху;зведений;
начальник штабу;начальника штабу;начальника штабу;начальнику штабу;начальником штабу;зведений;
начальник штабу - перший заступник командира батальйону;начальника штабу - першого заступника командира батальйону;начальника штабу - першого заступника командира батальйону;начальнику штабу - першому заступнику командира батальйону;начальником штабу - першим заступником командира батальйону;зведений;
начальник штабу - перший заступник командира батареї;начальника штабу - першого заступника командира батареї;начальника штабу - першого заступника командира батареї;начальнику штабу - першому заступнику командира батареї;начальником штабу - першим заступником командира батареї;зведений;
начальник штабу - перший заступник командира бригади;начальника штабу - першого заступника командира бригади;начальника штабу - першого заступника командира бригади;начальнику штабу - першому заступнику командира бригади;начальником штабу - першим заступником командира бригади;зведений;
начальник штабу - перший заступник командира військової частини;начальника штабу - першого заступника командира військової частини;начальника штабу - першого заступника командира військової частини;начальнику штабу - першому заступнику командира військової частини;начальником штабу - першим заступником командира військової частини;зведений;
начальник штабу - перший заступник командира дивізіону;начальника штабу - першого заступника командира дивізіону;начальника штабу - першого заступника командира дивізіону;начальнику штабу - першому заступнику командира дивізіону;начальником штабу - першим заступником командира дивізіону;зведений;
начальник штабу - перший заступник командира полку;начальника штабу - першого заступника командира полку;начальника штабу - першого заступника командира полку;начальнику штабу - першому заступнику командира полку;начальником штабу - першим заступником командира полку;зведений;
начальник штабу - перший заступник командира роти;начальника штабу - першого заступника командира роти;начальника штабу - першого заступника командира роти;начальнику штабу - першому заступнику командира роти;начальником штабу - першим заступником командира роти;зведений;
начальник штабу батальйону;начальника штабу батальйону;начальника штабу батальйону;начальнику штабу батальйону;начальником штабу батальйону;зведений;
начальник штабу батареї;начальника штабу батареї;начальника штабу батареї;начальнику штабу батареї;начальником штабу батареї;зведений;
начальник штабу бригади;начальника штабу бригади;начальника штабу бригади;начальнику штабу бригади;начальником штабу бригади;зведений;
начальник штабу взводу;начальника штабу взводу;начальника штабу взводу;начальнику штабу взводу;начальником штабу взводу;зведений;
начальник штабу відділення;начальника штабу відділення;начальника штабу відділення;начальнику штабу відділення;начальником штабу відділення;зведений;
начальник штабу військової частини;начальника штабу військової частини;начальника штабу військової частини;начальнику штабу військової частини;начальником штабу військової частини;зведений;
начальник штабу групи;начальника штабу групи;начальника штабу групи;начальнику штабу групи;начальником штабу групи;зведений;
начальник штабу дивізіону;начальника штабу дивізіону;начальника штабу дивізіону;начальнику штабу дивізіону;начальником штабу дивізіону;зведений;
начальник штабу екіпажу;начальника штабу екіпажу;начальника штабу екіпажу;начальнику штабу екіпажу;начальником штабу екіпажу;зведений;
начальник штабу ескадрильї;начальника штабу ескадрильї;начальника штабу ескадрильї;начальнику штабу ескадрильї;начальником штабу ескадрильї;зведений;
начальник штабу загону;начальника штабу загону;начальника штабу загону;начальнику штабу загону;начальником штабу загону;зведений;
начальник штабу командування;начальника штабу командування;начальника штабу командування;начальнику штабу командування;начальником штабу командування;зведений;
начальник штабу корпусу;начальника штабу корпусу;начальника штабу корпусу;начальнику штабу корпусу;начальником штабу корпусу;зведений;
начальник штабу ланки;начальника штабу ланки;начальника штабу ланки;начальнику штабу ланки;начальником штабу ланки;зведений;
начальник штабу полку;начальника штабу полку;начальника штабу полку;начальнику штабу полку;начальником штабу полку;зведений;
начальник штабу роти;начальника штабу роти;начальника штабу роти;начальнику штабу роти;начальником штабу роти;зведений;
начальник щитової станції;начальника щитової станції;начальника щитової станції;начальнику щитової станції;начальником щитової станції;довідник, Excel, зведений;
начальник інженерної служби;начальника інженерної служби;начальника інженерної служби;начальнику інженерної служби;начальником інженерної служби;зведений;
начальник інспекції;начальника інспекції;начальника інспекції;начальнику інспекції;начальником інспекції;зведений;
начальник інформаційно-аналітичної групи;начальника інформаційно-аналітичної групи;начальника інформаційно-аналітичної групи;начальнику інформаційно-аналітичної групи;начальником інформаційно-аналітичної групи;зведений;
начальник інформаційного поста;начальника інформаційного поста;начальника інформаційного поста;начальнику інформаційного поста;начальником інформаційного поста;довідник, Excel, зведений;
начальник їдальні;начальника їдальні;начальника їдальні;начальнику їдальні;начальником їдальні;зведений;
номер;номера;номера;номеру;номером;довідник, Excel, зведений;
номер обслуги;номера обслуги;номера обслуги;номеру обслуги;номером обслуги;довідник, Excel, зведений;
нормувальник;нормувальника;нормувальника;нормувальнику;нормувальником;довідник, Excel, зведений;
оббивальник;оббивальника;оббивальника;оббивальнику;оббивальником;довідник, Excel, зведений;
обмотувальник;обмотувальника;обмотувальника;обмотувальнику;обмотувальником;довідник, Excel, зведений;
обчислювач;обчислювача;обчислювача;обчислювачу;обчислювачем;довідник, Excel, зведений;
оглядач;оглядача;оглядача;оглядачу;оглядачем;довідник, Excel, зведений;
оксидувальник;оксидувальника;оксидувальника;оксидувальнику;оксидувальником;довідник, Excel, зведений;
оперативний черговий;оперативного чергового;оперативного чергового;оперативному черговому;оперативним черговим;зведений;
оператор;оператора;оператора;оператору;оператором;довідник, Excel, зведений;
оператор безпілотних літальних апаратів;оператора безпілотних літальних апаратів;оператора безпілотних літальних апаратів;оператору безпілотних літальних апаратів;оператором безпілотних літальних апаратів;зведений;
оператор-гранатометник;оператора-гранатометника;оператора-гранатометника;оператору-гранатометнику;оператором-гранатометником;довідник, Excel, зведений;
оператор-експедитор;оператора-експедитора;оператора-експедитора;оператору-експедитору;оператором-експедитором;довідник, Excel, зведений;
оператор-електрик;оператора-електрика;оператора-електрика;оператору-електрику;оператором-електриком;довідник, Excel, зведений;
оператор-кулеметник;оператора-кулеметника;оператора-кулеметника;оператору-кулеметнику;оператором-кулеметником;довідник, Excel, зведений;
оператор-лінійний наглядач;оператора-лінійного наглядача;оператора-лінійного наглядача;оператору-лінійному наглядачу;оператором-лінійним наглядачем;довідник, Excel, зведений;
оператор-механік;оператора-механіка;оператора-механіка;оператору-механіку;оператором-механіком;довідник, Excel, зведений;
оператор-номер;оператора-номера;оператора-номера;оператору-номеру;оператором-номером;довідник, Excel, зведений;
оператор-обчислювач;оператора-обчислювача;оператора-обчислювача;оператору-обчислювачу;оператором-обчислювачем;довідник, Excel, зведений;
оператор-планшетист;оператора-планшетиста;оператора-планшетиста;оператору-планшетисту;оператором-планшетистом;довідник, Excel, зведений;
