Група;Назва групи;Код ВОС;Найменування ВОС;Посади, на яких застосовується;Допустимо без додаткової підготовки;Допустимо з додатковою підготовкою;Примітка
28;Протипожежна охорона;280100;Організація пожежної безпеки;На посадах спеціалістів в органах пожежної безпеки, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;220100, 221000;Офіцери інших ВОС, які мають освіту за напрямом «Пожежна безпека»;
29;Мобілізаційна, кадрова та організаційно-штатна робота;290100;Мобілізаційна робота в органах військового управління та військах (силах);На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;Офіцери інших ВОС, які проходили військову службу на командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;;
29;Мобілізаційна, кадрова та організаційно-штатна робота;290400;Мобілізаційна робота у територіальних центрах комплектування та соціальної підтримки;На посадах спеціалістів у територіальних центрах комплектування та соціальної підтримки;;;
29;Мобілізаційна, кадрова та організаційно-штатна робота;290500;Комплектування особовим складом військ (сил) та ведення обліку чисельності. Управління кар’єрою;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;;;
29;Мобілізаційна, кадрова та організаційно-штатна робота;290600;Організаційно-штатна робота у ЗС України;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;;;
30;Захист інформації та криптології;300100;Спеціальний зв’язок. Безпека спеціальних видів зв’язку, ЗАР-П та захисту інформації;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО, а також на посадах спеціалістів;;300200, 300500, 300600;
30;Захист інформації та криптології;300200;Захист інформації. Організація режиму секретності, секретного діловодства та архівна справа;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО, а також на посадах спеціалістів;300100;300500, 300600;
30;Захист інформації та криптології;300300;Захист інформації у видавничій справі;На посадах спеціалістів у військових органах забезпечення дотримання законодавства у видавничій справі;300100, 300200;300500, 300600;
30;Захист інформації та криптології;300400;Організація захисту систем управління військами і зброєю, ракетної зброї від несанкціонованого застосування;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;;300100, 300200, 300500, 300600;
30;Захист інформації та криптології;300500;Застосування військових частин і підрозділів технічного захисту інформації;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО, а також на посадах спеціалістів;;300100, 300200, 300600;
30;Захист інформації та криптології;300600;Організація захисту інформаційних технологій;На штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО, а також на посадах спеціалістів;300500;300100, 300200;
31;Фінансове забезпечення;310100;Фінанси та військова економіка;На посадах керівного складу в органах військового управління, установах, а також начальників фінансово-економічної служби з’єднання;;310101;
31;Фінансове забезпечення;310101;Фінансове забезпечення і економіка бойової та господарчої діяльності військ (сил);На посадах керівного складу у військових частинах, установах, ВВНЗ та ВНП ЗВО, а також на посадах спеціалістів в органах військового управління, військових частинах, установах, ВВНЗ та ВНП ЗВО;310100;;
32;Фізична культура і спорт;320100;Організація фізичної підготовки та спорту;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;Офіцери інших ВОС, які мають споріднену цивільну освіту;021000, 021200, 021400;
32;Фізична культура і спорт;320200;Фізкультурно-спортивна реабілітація;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;Офіцери інших ВОС, які мають споріднену цивільну освіту;320100, 903400, 903404;
33;Інформаційно-аналітичне забезпечення та військова журналістика;330100;Організація інформаційно-аналітичної служби;На посадах керівного складу в органах військового управління, з’єднаннях, установах, ВВНЗ та ВНП ЗВО, а також редакторів військових редакційно-видавницьких органів;344200, 330300, 330500;Офіцери інших ВОС, які мають споріднену цивільну освіту;
33;Інформаційно-аналітичне забезпечення та військова журналістика;330300;Військова журналістика;На посадах військових журналістів і кореспондентів, викладачів ВВНЗ та ВНП ЗВО, а також прес-секретарів;093500, 330500;Офіцери інших ВОС, які мають споріднену цивільну освіту;
33;Інформаційно-аналітичне забезпечення та військова журналістика;330400;Інформаційно-аналітичне забезпечення застосування військ (сил);На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;Офіцери інших ВОС;;
33;Інформаційно-аналітичне забезпечення та військова журналістика;330500;Зв’язки з громадськістю;На посадах спеціалістів в органах військового управління, з’єднаннях, установах, ВВНЗ та ВНП ЗВО, а також на посадах спеціалістів;330100, 330300, 344200;Офіцери інших ВОС, які мають споріднену цивільну освіту;
33;Інформаційно-аналітичне забезпечення та військова журналістика;330600;Воєнно-історична робота у військах (силах);На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;Офіцери інших ВОС, які пройшли відповідну підготовку;;
33;Інформаційно-аналітичне забезпечення та військова журналістика;330700;Вивчення та впровадження досвіду;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;Офіцери інших ВОС, які пройшли відповідну підготовку;;
34;Організація психологічної підтримки персоналу (психологічного забезпечення) та соціальної роботи військ (сил);340001;Соціальна психологія;На посадах підрозділів психологічної підтримки персоналу (психологічного забезпечення);340002;340004;
34;Організація психологічної підтримки персоналу (психологічного забезпечення) та соціальної роботи військ (сил);340002;Психологія;На посадах підрозділів психологічної підтримки персоналу (психологічного забезпечення);Офіцери інших ВОС, які мають споріднену цивільну освіту за спеціальностями «Психологія» або «Медична та психологічна реабілітація»;;
34;Організація психологічної підтримки персоналу (психологічного забезпечення) та соціальної роботи військ (сил);340004;Моральна підтримка;На посадах підрозділів психологічної підтримки персоналу (психологічного забезпечення);344000;340001, 340002;
34;Організація психологічної підтримки персоналу (психологічного забезпечення) та соціальної роботи військ (сил);340005;Соціальна робота;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;340001, 850400;Офіцери інших ВОС, які пройшли відповідну підготовку;
34;Організація психологічної підтримки персоналу (психологічного забезпечення) та соціальної роботи військ (сил);340007;Захист від інформаційно-психологічного впливу;На посадах підрозділів психологічної підтримки персоналу (психологічного забезпечення);;340001, 340002;
34;Організація психологічної підтримки персоналу (психологічного забезпечення) та соціальної роботи військ (сил);340200;Керівництво діяльністю органів з психологічної підтримки персоналу (психологічного забезпечення);На посадах керівного складу з психологічної підтримки персоналу (психологічного забезпечення) в органах військового управління;340001, 340002;340004, офіцери інших ВОС, які мають споріднену цивільну освіту за спеціальностями «Психологія» або «Медична та психологічна реабілітація»;
34;Організація психологічної підтримки персоналу (психологічного забезпечення) та соціальної роботи військ (сил);342000;Організація психологічної підтримки персоналу (психологічного забезпечення);На посадах керівного складу у військових частинах, установах, ВВНЗ та ВНП ЗВО, в підрозділах військових частин, надводних кораблів (суден) та підводних човнів, а також на посадах спеціалістів;340001, 340002, 340004;Офіцери 34 групи ВОС та ті, які мають споріднену цивільну освіту за спеціальностями «Психологія», «Практична психологія» або «Медична та психологічна реабілітація»;
34;Організація психологічної підтримки персоналу (психологічного забезпечення) та соціальної роботи військ (сил);342800;Організація психологічної підтримки персоналу (психологічного забезпечення);На посадах спеціалістів з психологічної підтримки персоналу (психологічного забезпечення) в підрозділах Державної спеціальної служби транспорту;340001, 340002, 342000;340004, офіцери інших ВОС, які мають споріднену цивільну освіту за спеціальностями «Психологія» або «Медична та психологічна реабілітація»;
34;Організація психологічної підтримки персоналу (психологічного забезпечення) та соціальної роботи військ (сил);342900;Керівництво діяльністю органів з психологічної підтримки персоналу (психологічного забезпечення), організація психологічної підтримки персоналу (психологічного забезпечення) в авіаційних бригадах, полках, ескадрильях;На посадах керівного складу з психологічної підтримки персоналу (психологічного забезпечення) в органах військового управління, у військових частинах, установах, ВВНЗ та ВНП ЗВО, які входять до складу льотних екіпажів;340001, 340002, 342000;340004, офіцери інших ВОС, які мають споріднену цивільну освіту за спеціальностями «Психологія» або «Медична та психологічна реабілітація»;
34;Організація психологічної підтримки персоналу (психологічного забезпечення) та соціальної роботи військ (сил);343000;Керівництво діяльністю органів з морально-психологічного забезпечення в Національній гвардії України;На посадах керівного складу з морально-психологічного забезпечення в органах військового управління;340001, 340002;340004;
34;Організація психологічної підтримки персоналу (психологічного забезпечення) та соціальної роботи військ (сил);343100;Організація морально-психологічного забезпечення військ (сил) в Національній гвардії України;На посадах керівного складу у військових частинах, установах, ВВНЗ та ВНП ЗВО, в підрозділах військових частин, надводних кораблів (суден) та підводних човнів, а також на посадах спеціалістів;340001, 340002;340004;
34;Організація психологічної підтримки персоналу (психологічного забезпечення) та соціальної роботи військ (сил);343200;Організація морально-психологічного забезпечення військ (сил) в авіаційних бригадах, полках, базах, ескадрильях Національної гвардії України;На посадах керівного складу в авіаційних військових частинах, підрозділах авіаційних військових частин, установах, які входять до складу льотних екіпажів;340001, 340002, 343000, 343100;340004, офіцери інших ВОС, які мають споріднену цивільну освіту за спеціальностями «Психологія» або досвід організації морально-психологічного забезпечення;
34;Організація психологічної підтримки персоналу (психологічного забезпечення) та соціальної роботи військ (сил);344000;Організація культурологічної підтримки персоналу та дозвілля;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах;Офіцери інших ВОС, які мають досвід організації моральної підтримки персоналу;;
34;Організація психологічної підтримки персоналу (психологічного забезпечення) та соціальної роботи військ (сил);344100;Організація постачання, експлуатації та ремонту технічних засобів виховання, поліграфії і кіно-, відеоапаратури. Виробництво та обробка кіно-, відео- та фотодокументів;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах;;340001, 340002, 340005;
34;Організація психологічної підтримки персоналу (психологічного забезпечення) та соціальної роботи військ (сил);344200;Редакційно-видавнича робота;На посадах керівного складу редакційно-видавничих установ;Офіцери інших ВОС з досвідом редакційно-видавничої роботи;;
34;Організація психологічної підтримки персоналу (психологічного забезпечення) та соціальної роботи військ (сил);344300;Типографська справа;На посадах керівного складу та спеціалістів типографської справи;;;
34;Організація психологічної підтримки персоналу (психологічного забезпечення) та соціальної роботи військ (сил);346000;Викладання соціально-гуманітарних наук;На посадах начальників кафедр та викладачів соціально-гуманітарних наук у ВВНЗ та ВНП ЗВО;Офіцери інших ВОС, які мають споріднену цивільну освіту;;
35;Військово-музичне забезпечення;350100;Керівництво військово-музичними установами;На посадах керівного складу в органах військового управління, військових частинах, установах, ВВНЗ та ВНП ЗВО, а також на посадах начальників оркестрів - військових диригентів;350300;350200;
35;Військово-музичне забезпечення;350200;Організація діяльності військово-оркестрової служби;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;350300;350100;
35;Військово-музичне забезпечення;350300;Організація інформаційно-музичної діяльності;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;350100, 350200;Офіцери інших ВОС, які мають споріднену цивільну освіту;
35;Військово-музичне забезпечення;350400;Організація забезпечення навчання військово-музичних підрозділів та установ;На посадах спеціалістів у ВВНЗ та ВНП ЗВО, а також викладачі;350100, 350200;Офіцери інших ВОС, які мають споріднену цивільну освіту;
36;Оборонне планування;360100;Оборонне планування в органах військового управління;На посадах спеціалістів в органах військового управління стратегічного рівня;Офіцери інших ВОС, які проходили військову службу на командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;;
36;Оборонне планування;360300;Планування оборонних ресурсів в органах військового управління;;;;
36;Оборонне планування;360500;Обробка інформації оборонного планування;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;Офіцери інших ВОС;;
39;Інші спеціальності;390100;Технічні, прикладні та соціально-гуманітарні науки;На посадах спеціалістів, наукових та науково-педагогічних працівників в органах військового управління, установах, ВВНЗ та ВНП ЗВО;Офіцери інших ВОС, які мають споріднену цивільну освіту;;
39;Інші спеціальності;390200;Економіка та планування будівельного виробництва;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;Офіцери інших ВОС, які мають споріднену цивільну освіту;;
39;Інші спеціальності;390300;Організація патентно-ліцензійної, винахідницької, раціоналізаторської роботи та охорони інтелектуальної власності;На посадах керівного складу в органах військового управління, установах, ВВНЗ та ВНП ЗВО і на підприємствах;Офіцери інших ВОС, які мають споріднену цивільну освіту;;
39;Інші спеціальності;390400;Іноземна мова;На посадах спеціалістів, військових перекладачів, включаючи бортових перекладачів в льотних екіпажах, в органах військового управління, з’єднань, військових частинах, установах та ВВНЗ та ВНП ЗВО;Офіцери інших ВОС, які мають рівень знань іноземної мови на рівні не нижче СМР-2;;
39;Інші спеціальності;390500;Міжнародні відносини у воєнній сфері;На посадах спеціалістів євроатлантичної інтеграції, військового співробітництва, верифікаційної діяльності в органах військового управління, установах, ВВНЗ та ВНП ЗВО;390400;Офіцери інших ВОС, які мають рівень знань іноземної мови на рівні не нижче СМР-2;
39;Інші спеціальності;390600;Правоохоронна діяльність у ЗС України;На посадах спеціалістів Військової служби правопорядку у ЗС України;850600;Офіцери інших ВОС, крім груп ВОС 90, 99;
39;Інші спеціальності;390700;Експлуатація та ремонт медичної апаратури і приладів;На посадах спеціалістів експлуатації медичної апаратури і приладів;;900200, 909000;
39;Інші спеціальності;390800;Службове собаківництво (кінологія);На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;Офіцери інших ВОС, які мають споріднену цивільну освіту;;
39;Інші спеціальності;390900;Експлуатація та ремонт підйомно-транспортних машин і механізмів;На посадах керівного складу та спеціалістів з охорони праці та інспекторського складу в органах військового управління, військових частинах, установах, ВВНЗ та ВНП ЗВО, а також спеціалістів підйомно-транспортних машин і механізмів;620300;Офіцери інших ВОС, які мають споріднену цивільну освіту;
39;Інші спеціальності;391000;Внутрішній аудит;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;Офіцери інших ВОС, які пройшли відповідну підготовку;;
39;Інші спеціальності;391010;Внутрішній контроль;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;Офіцери інших ВОС, які пройшли відповідну підготовку, або мають споріднену цивільну освіту;;
39;Інші спеціальності;392000;Військова капеланська діяльність;На штабних посадах служби військового капеланства в органах військового управління та на посадах військових капеланів у військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;Особи, які в установленому порядку отримали мандат на право здійснення військової капеланської діяльності та пройшли навчання за спеціальною програмою підготовки військових капеланів;;
39;Інші спеціальності;393000;Бойове застосування, управління та забезпечення дій безпілотних систем;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;063400, 063401, 063402, 706300;096300;
39;Інші спеціальності;393005;Бойове застосування, управління та забезпечення дій морських безекіпажних систем (комплексів);На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;;070100, 071100, 071300, 071400, 072000, 072300;
39;Інші спеціальності;399800;Офіцери, які мають військову спеціальність, що не застосовується у ЗС України;;;;
41;Організація застосування та експлуатації будівель і споруд спеціального призначення (пунктів управління);410100;Організація застосування стаціонарних та рухомих пунктів управління;На посадах керівного складу в органах військового управління, військових частинах, установах, ВВНЗ та ВНП ЗВО, а також на стаціонарних та рухомих пунктах управління;410200, 410300, 410400, 410500;;
41;Організація застосування та експлуатації будівель і споруд спеціального призначення (пунктів управління);410200;Бойове застосування стаціонарних пунктів управління;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;410300, 410400, 410500;Офіцери інших ВОС, які пройшли відповідну підготовку;
41;Організація застосування та експлуатації будівель і споруд спеціального призначення (пунктів управління);410300;Бойове застосування рухомих пунктів управління;На командних і штабних посадах в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;410200, 410400, 410500;Офіцери інших ВОС, які пройшли відповідну підготовку;
41;Організація застосування та експлуатації будівель і споруд спеціального призначення (пунктів управління);410400;Експлуатація та ремонт стаціонарних пунктів управління;На посадах спеціалістів у військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;410200, 410300, 410500;Офіцери інших ВОС, які пройшли відповідну підготовку;
41;Організація застосування та експлуатації будівель і споруд спеціального призначення (пунктів управління);410500;Експлуатація та ремонт рухомих пунктів управління;На посадах спеціалістів у військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;410200, 410300, 410400;Офіцери інших ВОС, які пройшли відповідну підготовку;
44;Зенітне ракетне, зенітне артилерійське та радіотехнічне озброєння протиповітряної оборони;440200;Організація технічного забезпечення, експлуатації та ремонту озброєння військ ППО СВ ЗС України;На посадах керівного складу в органах військового управління, військових частинах, установах, ВВНЗ та ВНП ЗВО, а також заступників командирів військових частин з озброєння (технічної частини);;041600, 041900, 042100, 042600;
44;Зенітне ракетне, зенітне артилерійське та радіотехнічне озброєння протиповітряної оборони;441100;Експлуатація та ремонт радіотехнічних засобів наведення зенітних ракетних комплексів військ ППО СВ ЗС України;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;441300;041600, 441500;
44;Зенітне ракетне, зенітне артилерійське та радіотехнічне озброєння протиповітряної оборони;441300;Експлуатація та ремонт бортових приладів управління і контрольно-випробного устаткування зенітних ракетних комплексів СВ ЗС України;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;441100, 441500;708400;
44;Зенітне ракетне, зенітне артилерійське та радіотехнічне озброєння протиповітряної оборони;441500;Технічне забезпечення, експлуатація та ремонт стартового і технологічного обладнання зенітних ракетних комплексів СВ ЗС України;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;;441100, 441300, 708500;
44;Зенітне ракетне, зенітне артилерійське та радіотехнічне озброєння протиповітряної оборони;441600;Технічне забезпечення, експлуатація та ремонт радіотехнічних засобів наведення безпілотних літальних апаратів-перехоплювачів військ ЗС України;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;;045100, 706300, офіцери 46 групи ВОС;
44;Зенітне ракетне, зенітне артилерійське та радіотехнічне озброєння протиповітряної оборони;442000;Технічне забезпечення, експлуатація та ремонт матеріальної частини зенітної артилерії;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;;042000, 042100;
44;Зенітне ракетне, зенітне артилерійське та радіотехнічне озброєння протиповітряної оборони;442100;Технічне забезпечення, експлуатація та ремонт радіолокаційних станцій гарматного наведення і радіолокаційних комплексів зенітної артилерії;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;;042000, 042100;
44;Зенітне ракетне, зенітне артилерійське та радіотехнічне озброєння протиповітряної оборони;443100;Технічне забезпечення, експлуатація та ремонт засобів автоматизованого управління зенітних ракетних комплексів і зенітної артилерії військ ППО СВ ЗС України;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;;442100, 708600;
44;Зенітне ракетне, зенітне артилерійське та радіотехнічне озброєння протиповітряної оборони;448000;Технічне забезпечення радіотехнічних засобів виявлення військ ППО СВ ЗС України;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;044000, 450100;040500;
45;Засоби попередження про ракетний напад;450100;Організація технічного забезпечення, експлуатації та ремонту засобів попередження про ракетний напад;На посадах керівного складу в органах військового управління, військових частинах, установах, ВВНЗ та ВНП ЗВО, а також заступників командирів військових частин з озброєння (технічної частини);044000, 448000;040500;
46;Авіаційна техніка та озброєння. Повітрянодесантна (парашутно-десантна) техніка;460100;Організація експлуатації та ремонту авіаційної техніки і озброєння;На посадах керівного складу в органах військового управління, військових частинах, установах, ВВНЗ та ВНП ЗВО, а також на посадах спеціалістів з інженерно-авіаційної служби;461000, 461003, 461004;461100, 461200, 461300;
46;Авіаційна техніка та озброєння. Повітрянодесантна (парашутно-десантна) техніка;461000;Експлуатація та ремонт літаків, вертольотів та авіаційних двигунів;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;461001, 461002, 461003, 461004;;
46;Авіаційна техніка та озброєння. Повітрянодесантна (парашутно-десантна) техніка;461001;Бортова експлуатація літаків і авіаційних двигунів;На посадах спеціалістів у льотних екіпажах;461003;461002, 461004;
46;Авіаційна техніка та озброєння. Повітрянодесантна (парашутно-десантна) техніка;461002;Бортова експлуатація вертольотів і авіаційних двигунів;На посадах спеціалістів у льотних екіпажах;461004;461001, 461003;
46;Авіаційна техніка та озброєння. Повітрянодесантна (парашутно-десантна) техніка;461003;Експлуатація та ремонт літаків і авіаційних двигунів;На посадах спеціалістів в органах військового управління, військових частинах (підрозділах), установах, ВВНЗ та ВНП ЗВО;461001;461000, 461004;
