Називний;Родовий;Давальний;Орудний;Інші форми;Склад;Код посади (МО 317);Номери ВОС (МО 317);Усі ВОС;Назва в переліку МО 317;Джерело
начальник зміни;начальника зміни;начальнику зміни;начальником зміни;;рядовий, сержантський, старшинський;429, 430;525;так;Начальник зміни | Начальник зміни (диспетчерської служби);Excel, МО 317
начальник кабельної експлуатаційної машини;начальника кабельної експлуатаційної машини;начальнику кабельної експлуатаційної машини;начальником кабельної експлуатаційної машини;;рядовий, сержантський, старшинський;315;408;;Начальник кабельної експлуатаційної машини;Excel, МО 317
начальник кабельної мережі;начальника кабельної мережі;начальнику кабельної мережі;начальником кабельної мережі;;рядовий, сержантський, старшинський;314;661, 662;;Начальник кабельної мережі;Excel, МО 317
начальник кабінету;начальника кабінету;начальнику кабінету;начальником кабінету;;рядовий, сержантський, старшинський;313;;так;Начальник кабінету;Excel, МО 317
начальник кафедри;начальника кафедри;начальнику кафедри;начальником кафедри;;офіцерський;;;;;складено
начальник квартирно-експлуатаційної частини;начальника квартирно-експлуатаційної частини;начальнику квартирно-експлуатаційної частини;начальником квартирно-експлуатаційної частини;;рядовий, сержантський, старшинський;317;957;;Начальник квартирно-експлуатаційної частини;Excel, МО 317
начальник киснедобувної станції;начальника киснедобувної станції;начальнику киснедобувної станції;начальником киснедобувної станції;;рядовий, сержантський, старшинський;453;799;;Начальник киснедобувної станції;Excel, МО 317
начальник киснезарядної станції;начальника киснезарядної станції;начальнику киснезарядної станції;начальником киснезарядної станції;;рядовий, сержантський, старшинський;454;799;;Начальник киснезарядної станції;Excel, МО 317
начальник клубу;начальника клубу;начальнику клубу;начальником клубу;;"рядовий, сержантський, старшинський; офіцерський";278;912;;Начальник клубу;Excel, МО 317, складено
начальник клініки;начальника клініки;начальнику клініки;начальником клініки;;офіцерський;;;;;складено
начальник команди;начальника команди;начальнику команди;начальником команди;;рядовий, сержантський, старшинський;322;100, 673, 674, 787, 886;;Начальник команди;Excel, МО 317
начальник команди плавзасобів;начальника команди плавзасобів;начальнику команди плавзасобів;начальником команди плавзасобів;;рядовий, сержантський, старшинський;323;302;;Начальник команди плавзасобів;Excel, МО 317
начальник комендатури;начальника комендатури;начальнику комендатури;начальником комендатури;;офіцерський;;;;;складено
начальник комплексу;начальника комплексу;начальнику комплексу;начальником комплексу;;рядовий, сержантський, старшинський;321;544, 545;;Начальник комплексу;Excel, МО 317
начальник компресорної станції;начальника компресорної станції;начальнику компресорної станції;начальником компресорної станції;;рядовий, сержантський, старшинський;455;982;;Начальник компресорної станції;Excel, МО 317
начальник контрольно-випробного пункту;начальника контрольно-випробного пункту;начальнику контрольно-випробного пункту;начальником контрольно-випробного пункту;;рядовий, сержантський, старшинський;392;403;;Начальник контрольно-випробного пункту;Excel, МО 317
начальник контрольно-випробної станції;начальника контрольно-випробної станції;начальнику контрольно-випробної станції;начальником контрольно-випробної станції;;рядовий, сержантський, старшинський;456;702, 703, 704, 705, 706, 707, 741, 742, 743;;Начальник контрольно-випробної станції;Excel, МО 317
начальник контрольно-пропускного пункту;начальника контрольно-пропускного пункту;начальнику контрольно-пропускного пункту;начальником контрольно-пропускного пункту;;рядовий, сержантський, старшинський;393;100, 907, 908;;Начальник контрольно-пропускного пункту;Excel, МО 317
начальник контрольно-регулюючої станції;начальника контрольно-регулюючої станції;начальнику контрольно-регулюючої станції;начальником контрольно-регулюючої станції;;рядовий, сержантський, старшинський;457;322, 334, 702, 703, 706, 707, 726, 727, 732, 741, 742, 743, 776;;Начальник контрольно-регулюючої станції;Excel, МО 317
начальник контрольно-технічного пункту;начальника контрольно-технічного пункту;начальнику контрольно-технічного пункту;начальником контрольно-технічного пункту;;рядовий, сержантський, старшинський;394;738, 739, 790;;Начальник контрольно-технічного пункту;Excel, МО 317
начальник контрольно-технічної станції;начальника контрольно-технічної станції;начальнику контрольно-технічної станції;начальником контрольно-технічної станції;;рядовий, сержантський, старшинський;458;474, 769;;Начальник контрольно-технічної станції (з контролю телефонної та телеграфної засекречувальної апаратури зв'язку);МО 317
начальник котельної;начальника котельної;начальнику котельної;начальником котельної;;рядовий, сержантський, старшинський;324;980;;Начальник котельної;Excel, МО 317
начальник крана;начальника крана;начальнику крана;начальником крана;;рядовий, сержантський, старшинський;325, 326;302, 942;;Начальник крана (вантажопідйомністю 25 т і більше та залізничного) | Начальник крана (плавучого);МО 317
начальник кроса;начальника кроса;начальнику кроса;начальником кроса;;рядовий, сержантський, старшинський;327, 328;403;;Начальник кроса (інформаційно-телекомунікаційних вузлів Генерального штабу Збройних Сил України, виду Збройних Сил України, оперативного командування) | Начальник кроса (інформаційно-телекомунікаційних вузлів корпусу, їм рівних та нижчих);МО 317
начальник курсу;начальника курсу;начальнику курсу;начальником курсу;;офіцерський;;;;;складено
начальник курсу лідерства сержантського складу;начальника курсу лідерства сержантського складу;начальнику курсу лідерства сержантського складу;начальником курсу лідерства сержантського складу;;рядовий, сержантський, старшинський;514;929;;Начальник Курсу лідерства сержантського (старшинського) складу;МО 317
начальник кінопункту;начальника кінопункту;начальнику кінопункту;начальником кінопункту;;рядовий, сержантський, старшинський;318;913;;Начальник кінопункту;Excel, МО 317
начальник кінофототеодолітного поста;начальника кінофототеодолітного поста;начальнику кінофототеодолітного поста;начальником кінофототеодолітного поста;;рядовий, сержантський, старшинський;360;641;;Начальник кінофототеодолітного поста;Excel, МО 317
начальник кінофототеодолітної станції;начальника кінофототеодолітної станції;начальнику кінофототеодолітної станції;начальником кінофототеодолітної станції;;рядовий, сержантський, старшинський;452;641;;Начальник кінофототеодолітної станції;Excel, МО 317
начальник лабораторії;начальника лабораторії;начальнику лабораторії;начальником лабораторії;;"рядовий, сержантський, старшинський; офіцерський";329, 350;105, 702, 703, 706, 707, 726, 727, 732;так;Начальник лабораторії | Начальник лабораторії (спеціальної, з ремонту та зберігання ракетного озброєння);Excel, МО 317, складено
начальник лазне-прального дезінфекційного пункту;начальника лазне-прального дезінфекційного пункту;начальнику лазне-прального дезінфекційного пункту;начальником лазне-прального дезінфекційного пункту;;рядовий, сержантський, старшинський;386;789;;Начальник лазне-прального дезінфекційного пункту;Excel, МО 317
начальник лазне-прального комбінату;начальника лазне-прального комбінату;начальнику лазне-прального комбінату;начальником лазне-прального комбінату;;рядовий, сержантський, старшинський;296;789;;Начальник лазне-прального комбінату;Excel, МО 317
начальник лазневого загону;начальника лазневого загону;начальнику лазневого загону;начальником лазневого загону;;рядовий, сержантський, старшинський;295;789;;Начальник лазневого загону;Excel, МО 317
начальник лазні;начальника лазні;начальнику лазні;начальником лазні;;рядовий, сержантський, старшинський;294;789;;Начальник лазні;Excel, МО 317
начальник лісопильної рами;начальника лісопильної рами;начальнику лісопильної рами;начальником лісопильної рами;;рядовий, сержантський, старшинський;330;171, 798;;Начальник лісопильної рами (верстата);МО 317
начальник майстерні;начальника майстерні;начальнику майстерні;начальником майстерні;;"рядовий, сержантський, старшинський; офіцерський";331, 332, 333;702, 703, 704, 705, 706, 707, 708, 709, 726, 727, 732;так;Начальник майстерні (з ремонту ракетного озброєння та техніки) | Начальник майстерні (з ремонту озброєння та техніки) | Начальник майстерні (з ремонту військово-технічного та господарського майна);МО 317, складено
начальник майстерні технічного обслуговування;начальника майстерні технічного обслуговування;начальнику майстерні технічного обслуговування;начальником майстерні технічного обслуговування;;рядовий, сержантський, старшинський;335;738;;Начальник майстерні технічного обслуговування;Excel, МО 317
начальник маніпуляторного пункту;начальника маніпуляторного пункту;начальнику маніпуляторного пункту;начальником маніпуляторного пункту;;рядовий, сержантський, старшинський;496, 497;344, 420, 527, 665;;Начальник маніпуляторного пункту (крім світлотехнічного та гідроакустичного) | Начальник маніпуляторного пункту (світлотехнічного та гідроакустичного);МО 317
начальник маяка;начальника маяка;начальнику маяка;начальником маяка;;рядовий, сержантський, старшинський;301, 337;285, 665;;Начальник маяка;МО 317
начальник медичного пункту;начальника медичного пункту;начальнику медичного пункту;начальником медичного пункту;;рядовий, сержантський, старшинський;395;879;;Начальник медичного пункту;Excel, МО 317
начальник медичної служби;начальника медичної служби;начальнику медичної служби;начальником медичної служби;;офіцерський;;;;;складено
начальник метеорологічного поста;начальника метеорологічного поста;начальнику метеорологічного поста;начальником метеорологічного поста;;рядовий, сержантський, старшинський;362;631, 632;;Начальник метеорологічного поста;Excel, МО 317
начальник метеорологічної станції;начальника метеорологічної станції;начальнику метеорологічної станції;начальником метеорологічної станції;;рядовий, сержантський, старшинський;459;631, 632;;Начальник метеорологічної станції;Excel, МО 317
начальник млинарської установки;начальника млинарської установки;начальнику млинарської установки;начальником млинарської установки;;рядовий, сержантський, старшинський;338;788;;Начальник млинарської установки;Excel, МО 317
начальник міжміської телефонної станції;начальника міжміської телефонної станції;начальнику міжміської телефонної станції;начальником міжміської телефонної станції;;рядовий, сержантський, старшинський;495;403;;Начальник міжміської телефонної станції;Excel, МО 317
начальник містечка;начальника містечка;начальнику містечка;начальником містечка;;рядовий, сержантський, старшинський;306;100, 113, 116, 117, 118, 121, 122, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 195, 212, 213, 833;;Начальник містечка (інженерного, десантного, вогневого, парашутного, військ радіаційного, хімічного та біологічного захисту);МО 317
начальник навчального класу;начальника навчального класу;начальнику навчального класу;начальником навчального класу;;рядовий, сержантський, старшинський;517;;так;Начальник навчального класу;Excel, МО 317
начальник навчального тактичного поля;начальника навчального тактичного поля;начальнику навчального тактичного поля;начальником навчального тактичного поля;;рядовий, сержантський, старшинський;518;100, 166, 167, 169, 170, 176, 180, 183;;Начальник навчального тактичного поля;Excel, МО 317
начальник навчального центру;начальника навчального центру;начальнику навчального центру;начальником навчального центру;;офіцерський;;;;;складено
начальник наземного запитувача;начальника наземного запитувача;начальнику наземного запитувача;начальником наземного запитувача;;рядовий, сержантський, старшинський;339;500, 501, 502, 503, 504, 507, 508;;Начальник наземного запитувача;Excel, МО 317
начальник насосної станції;начальника насосної станції;начальнику насосної станції;начальником насосної станції;;рядовий, сержантський, старшинський;460;960, 961;;Начальник насосної станції;Excel, МО 317
начальник обмінного пункту;начальника обмінного пункту;начальнику обмінного пункту;начальником обмінного пункту;;рядовий, сержантський, старшинський;396;485;;Начальник обмінного пункту;Excel, МО 317
начальник обслуги;начальника обслуги;начальнику обслуги;начальником обслуги;;рядовий, сержантський, старшинський;422;;так;Начальник обслуги;Excel, МО 317
начальник обслуги - старший механік-водій самохідної пускової установки;начальника обслуги - старшого механіка-водія самохідної пускової установки;начальнику обслуги - старшому механіку-водію самохідної пускової установки;начальником обслуги - старшим механіком-водієм самохідної пускової установки;;рядовий, сержантський, старшинський;498;038;;Начальник обслуги - старший механік-водій самохідної пускової установки;МО 317
начальник опріснювальної станції;начальника опріснювальної станції;начальнику опріснювальної станції;начальником опріснювальної станції;;рядовий, сержантський, старшинський;492;174, 960;;Начальник опріснювальної станції;Excel, МО 317
начальник оркестру;начальника оркестру;начальнику оркестру;начальником оркестру;;офіцерський;;;;;складено
начальник парашутної сушарні;начальника парашутної сушарні;начальнику парашутної сушарні;начальником парашутної сушарні;;рядовий, сержантський, старшинський;345;212, 213;;Начальник парашутної сушарні;Excel, МО 317
начальник пеленгаторного поста;начальника пеленгаторного поста;начальнику пеленгаторного поста;начальником пеленгаторного поста;;рядовий, сержантський, старшинський;368;626, 627, 630, 633;;Начальник пеленгаторного поста;Excel, МО 317
начальник пеленгаторної станції;начальника пеленгаторної станції;начальнику пеленгаторної станції;начальником пеленгаторної станції;;рядовий, сержантський, старшинський;461;626;;Начальник пеленгаторної станції;Excel, МО 317
начальник передавального радіовузла;начальника передавального радіовузла;начальнику передавального радіовузла;начальником передавального радіовузла;;рядовий, сержантський, старшинський;512;420, 429, 430, 441;;Начальник передавального радіовузла;Excel, МО 317
начальник передавального радіопункту;начальника передавального радіопункту;начальнику передавального радіопункту;начальником передавального радіопункту;;рядовий, сержантський, старшинський;398;429, 430;;Начальник передавального радіопункту;Excel, МО 317
начальник передавального радіоцентру;начальника передавального радіоцентру;начальнику передавального радіоцентру;начальником передавального радіоцентру;;рядовий, сержантський, старшинський;378;420, 429, 430, 460;;Начальник передавального радіоцентру;Excel, МО 317
начальник передавальної частини радіостанції;начальника передавальної частини радіостанції;начальнику передавальної частини радіостанції;начальником передавальної частини радіостанції;;рядовий, сержантський, старшинський;379;420, 429, 430, 441, 460;;Начальник передавальної частини радіостанції (великої потужності);МО 317
начальник пересувного вузла зв'язку;начальника пересувного вузла зв'язку;начальнику пересувного вузла зв'язку;начальником пересувного вузла зв'язку;;рядовий, сержантський, старшинський;513;403, 420, 460;;Начальник пересувного вузла зв'язку;Excel, МО 317
начальник плавучої майстерні;начальника плавучої майстерні;начальнику плавучої майстерні;начальником плавучої майстерні;;рядовий, сержантський, старшинський;336;302;;Начальник плавучої майстерні;Excel, МО 317
начальник пожежного нагляду;начальника пожежного нагляду;начальнику пожежного нагляду;начальником пожежного нагляду;;рядовий, сержантський, старшинський;380;966;;Начальник пожежного нагляду;Excel, МО 317
начальник пожежної обслуги;начальника пожежної обслуги;начальнику пожежної обслуги;начальником пожежної обслуги;;рядовий, сержантський, старшинський;334;967;;Начальник пожежної обслуги;Excel, МО 317
начальник полігона;начальника полігона;начальнику полігона;начальником полігона;;рядовий, сержантський, старшинський;351;153, 155, 156, 160, 233, 234, 235, 236, 237, 238, 302, 324, 429, 430;;Начальник полігона;Excel, МО 317
начальник посадочного прожектора;начальника посадочного прожектора;начальнику посадочного прожектора;начальником посадочного прожектора;;рядовий, сержантський, старшинський;352;665;;Начальник посадочного прожектора;Excel, МО 317
начальник поста збору та оброблення інформації;начальника поста збору та оброблення інформації;начальнику поста збору та оброблення інформації;начальником поста збору та оброблення інформації;;рядовий, сержантський, старшинський;374;615, 616, 617, 620, 621;;Начальник поста збору та оброблення інформації;Excel, МО 317
начальник поста наведення;начальника поста наведення;начальнику поста наведення;начальником поста наведення;;рядовий, сержантський, старшинський;365;057, 074, 654;;Начальник поста наведення (крилатих ракет);МО 317
начальник поста охорони та оборони;начальника поста охорони та оборони;начальнику поста охорони та оборони;начальником поста охорони та оборони;;рядовий, сержантський, старшинський;367;100;;Начальник поста охорони та оборони;Excel, МО 317
начальник поста регулювання руху;начальника поста регулювання руху;начальнику поста регулювання руху;начальником поста регулювання руху;;рядовий, сержантський, старшинський;373;907;;Начальник поста регулювання руху;Excel, МО 317
начальник поста спостереження та зв'язку;начальника поста спостереження та зв'язку;начальнику поста спостереження та зв'язку;начальником поста спостереження та зв'язку;;рядовий, сержантський, старшинський;363, 364;146, 161, 215;так;Начальник поста спостереження та зв'язку;МО 317
начальник пральні;начальника пральні;начальнику пральні;начальником пральні;;рядовий, сержантський, старшинський;353;789;;Начальник пральні;Excel, МО 317
начальник привідної радіостанції;начальника привідної радіостанції;начальнику привідної радіостанції;начальником привідної радіостанції;;рядовий, сержантський, старшинський;385;528;;Начальник привідної радіостанції;Excel, МО 317
начальник приймально-пеленгаторної станції;начальника приймально-пеленгаторної станції;начальнику приймально-пеленгаторної станції;начальником приймально-пеленгаторної станції;;рядовий, сержантський, старшинський;465;446, 500, 501, 502, 503, 504, 505, 506, 507, 508;;Начальник приймально-пеленгаторної станції;Excel, МО 317
начальник приймально-пеленгаторної установки;начальника приймально-пеленгаторної установки;начальнику приймально-пеленгаторної установки;начальником приймально-пеленгаторної установки;;рядовий, сержантський, старшинський;382;516;;Начальник приймально-пеленгаторної установки;Excel, МО 317
начальник приймального радіовузла;начальника приймального радіовузла;начальнику приймального радіовузла;начальником приймального радіовузла;;рядовий, сержантський, старшинський;511;420, 429, 430, 441;;Начальник приймального радіовузла;Excel, МО 317
начальник приймального радіопункту;начальника приймального радіопункту;начальнику приймального радіопункту;начальником приймального радіопункту;;рядовий, сержантський, старшинський;399;420, 441;;Начальник приймального радіопункту;Excel, МО 317
начальник приймального радіоцентру;начальника приймального радіоцентру;начальнику приймального радіоцентру;начальником приймального радіоцентру;;рядовий, сержантський, старшинський;383;420, 460;;Начальник приймального радіоцентру;Excel, МО 317
начальник приймальної машини;начальника приймальної машини;начальнику приймальної машини;начальником приймальної машини;;рядовий, сержантський, старшинський;381;582, 583, 600, 611, 612, 614, 615, 616, 617, 618, 619, 620, 621;;Начальник приймальної машини;Excel, МО 317
начальник приймальної частини радіостанції;начальника приймальної частини радіостанції;начальнику приймальної частини радіостанції;начальником приймальної частини радіостанції;;рядовий, сержантський, старшинський;384;420, 429, 430, 441, 460;;Начальник приймальної частини радіостанції (великої потужності);МО 317
начальник пристрілочної станції;начальника пристрілочної станції;начальнику пристрілочної станції;начальником пристрілочної станції;;рядовий, сержантський, старшинський;466;147;;Начальник пристрілочної станції;Excel, МО 317
начальник продовольчого пункту;начальника продовольчого пункту;начальнику продовольчого пункту;начальником продовольчого пункту;;рядовий, сержантський, старшинський;400;788;;Начальник продовольчого пункту;Excel, МО 317
начальник продовольчого складу;начальника продовольчого складу;начальнику продовольчого складу;начальником продовольчого складу;;рядовий, сержантський, старшинський;;;;;Excel
начальник продовольчої служби;начальника продовольчої служби;начальнику продовольчої служби;начальником продовольчої служби;;офіцерський;;;;;складено
начальник прожекторного пункту;начальника прожекторного пункту;начальнику прожекторного пункту;начальником прожекторного пункту;;рядовий, сержантський, старшинський;401;665;;Начальник прожекторного пункту;Excel, МО 317
начальник прожекторної станції;начальника прожекторної станції;начальнику прожекторної станції;начальником прожекторної станції;;рядовий, сержантський, старшинський;467;665;;Начальник прожекторної станції;Excel, МО 317
начальник протиповітряної оборони;начальника протиповітряної оборони;начальнику протиповітряної оборони;начальником протиповітряної оборони;;офіцерський;;;;;складено
начальник пункту;начальника пункту;начальнику пункту;начальником пункту;;офіцерський;;;;;складено
начальник пункту високочастотного зв'язку;начальника пункту високочастотного зв'язку;начальнику пункту високочастотного зв'язку;начальником пункту високочастотного зв'язку;;рядовий, сержантський, старшинський;388;403;;Начальник пункту високочастотного зв'язку;Excel, МО 317
начальник пункту дегазації;начальника пункту дегазації;начальнику пункту дегазації;начальником пункту дегазації;;рядовий, сержантський, старшинський;389;189;;Начальник пункту дегазації;Excel, МО 317
начальник пункту заправки пальним;начальника пункту заправки пальним;начальнику пункту заправки пальним;начальником пункту заправки пальним;;рядовий, сержантський, старшинський;391;766;;Начальник пункту заправки пальним;МО 317
начальник пункту радіотехнічного контролю;начальника пункту радіотехнічного контролю;начальнику пункту радіотехнічного контролю;начальником пункту радіотехнічного контролю;;рядовий, сержантський, старшинський;405;450, 451, 452, 453, 454, 455, 508;;Начальник пункту радіотехнічного контролю;Excel, МО 317
начальник пункту спеціальної обробки;начальника пункту спеціальної обробки;начальнику пункту спеціальної обробки;начальником пункту спеціальної обробки;;рядовий, сержантський, старшинський;408;190, 191;;Начальник пункту спеціальної обробки;Excel, МО 317
начальник пункту спорядження;начальника пункту спорядження;начальнику пункту спорядження;начальником пункту спорядження;;рядовий, сержантський, старшинський;407;734;;Начальник пункту спорядження (авіаційних боєприпасів);МО 317
начальник пункту технічного обслуговування;начальника пункту технічного обслуговування;начальнику пункту технічного обслуговування;начальником пункту технічного обслуговування;;рядовий, сержантський, старшинський;409, 410;700, 738, 827, 828, 829, 833;;Начальник пункту технічного обслуговування (апарати Міністерства оборони України, Головнокомандувача та Генерального штабу Збройних Сил України) | Начальник пункту технічного обслуговування;Excel, МО 317
начальник підйомно-стикового агрегату;начальника підйомно-стикового агрегату;начальнику підйомно-стикового агрегату;начальником підйомно-стикового агрегату;;рядовий, сержантський, старшинський;349;702, 706;;Начальник підйомно-стикового агрегату;Excel, МО 317
начальник підсилювального пункту;начальника підсилювального пункту;начальнику підсилювального пункту;начальником підсилювального пункту;;рядовий, сержантський, старшинський;411;403;;Начальник підсилювального пункту;Excel, МО 317
начальник радіобюро;начальника радіобюро;начальнику радіобюро;начальником радіобюро;;рядовий, сержантський, старшинський;415;420, 429, 430, 460;;Начальник радіобюро;Excel, МО 317
начальник радіовисотоміра;начальника радіовисотоміра;начальнику радіовисотоміра;начальником радіовисотоміра;;рядовий, сержантський, старшинський;416;507;;Начальник радіовисотоміра;Excel, МО 317
начальник радіовузла;начальника радіовузла;начальнику радіовузла;начальником радіовузла;;рядовий, сержантський, старшинський;510;420, 429, 430, 441;;Начальник радіовузла;Excel, МО 317
начальник радіодалекоміра;начальника радіодалекоміра;начальнику радіодалекоміра;начальником радіодалекоміра;;рядовий, сержантський, старшинський;417;525;;Начальник радіодалекоміра;Excel, МО 317
начальник радіолокаційного поста;начальника радіолокаційного поста;начальнику радіолокаційного поста;начальником радіолокаційного поста;;рядовий, сержантський, старшинський;369;500, 501, 502, 503, 504, 507, 508, 513, 515, 517, 518, 519, 520, 525, 563, 564;;Начальник радіолокаційного поста;Excel, МО 317
начальник радіолокаційної станції;начальника радіолокаційної станції;начальнику радіолокаційної станції;начальником радіолокаційної станції;;рядовий, сержантський, старшинський;445, 468;500, 501, 502, 503, 504, 507, 508, 513, 515, 517, 518, 519, 520, 525;;Начальник радіолокаційної станції (для зенітних ракетних та радіотехнічних військових частин та військових частин ракетних військ і артилерії) | Начальник радіолокаційної станції;Excel, МО 317
начальник радіомаркерного поста;начальника радіомаркерного поста;начальнику радіомаркерного поста;начальником радіомаркерного поста;;рядовий, сержантський, старшинський;370;528;;Начальник радіомаркерного поста;Excel, МО 317
начальник радіомаркерного пункту;начальника радіомаркерного пункту;начальнику радіомаркерного пункту;начальником радіомаркерного пункту;;рядовий, сержантський, старшинський;402;528;;Начальник радіомаркерного пункту;Excel, МО 317
